resume_text,role
kubernetes docker java python Developed team Worked on tooling Developed project reduced time by 31% handled team of 12,Software Engineer
ci/cd docker rest java Improved performance of system Developed team Responsible for docker reduced time by 52% handled team of 7,Software Engineer
principal ci/cd java microservices python Authored project Built scalable c++ Optimized system,Software Engineer
python kubernetes rest docker Managed docker Responsible for project Authored automation,Software Engineer
ci/cd sql microservices kubernetes Led a project on project Developed kubernetes Implemented CI/CD docker reduced time by 29% handled team of 5,Software Engineer
director kubernetes microservices rest sql Owned end-to-end sql Designed and implemented c++ Responsible for java reduced time by 60% handled team of 14,Software Engineer
rest microservices sql java Authored ci/cd Worked on project Collaborated with tooling,Software Engineer
junior docker rest python sql Authored tooling Optimized tooling Responsible for system,Software Engineer
c++ kubernetes ci/cd microservices Designed and implemented rest Optimized microservices Managed system,Software Engineer
director ci/cd sql python c++ Managed rest Designed and implemented docker Developed team,Software Engineer
lead kubernetes rest ci/cd python Implemented CI/CD ci/cd Built scalable c++ Designed and implemented tooling,Software Engineer
lead ci/cd c++ docker kubernetes Collaborated with ci/cd Led a project on system Implemented CI/CD automation reduced time by 15%,Software Engineer
manager kubernetes java ci/cd sql Responsible for automation Built scalable java Designed and implemented automation,Software Engineer
intern ci/cd java docker kubernetes Built scalable ci/cd Collaborated with sql Built scalable java reduced time by 11%,Software Engineer
principal ci/cd kubernetes python sql Developed docker Managed c++ Responsible for python reduced time by 40%,Software Engineer
principal java python microservices rest Owned end-to-end rest Optimized python Led a project on python reduced time by 19%,Software Engineer
c++ docker sql rest Implemented CI/CD kubernetes Led a project on tooling Improved performance of sql reduced time by 13%,Software Engineer
docker kubernetes java sql Optimized rest Led a project on java Owned end-to-end team,Software Engineer
python docker ci/cd sql Authored c++ Improved performance of kubernetes Worked on team reduced time by 46%,Software Engineer
rest python ci/cd kubernetes Led a project on ci/cd Collaborated with java Implemented CI/CD ci/cd,Software Engineer
docker sql rest c++ Built scalable automation Owned end-to-end python Developed kubernetes,Software Engineer
director sql java docker ci/cd Led a project on docker Designed and implemented system Developed project reduced time by 47%,Software Engineer
intern ci/cd microservices c++ sql Collaborated with ci/cd Collaborated with automation Developed c++,Software Engineer
sql rest docker c++ Owned end-to-end project Responsible for tooling Responsible for java,Software Engineer
junior rest sql python c++ Worked on tooling Designed and implemented python Collaborated with microservices,Software Engineer
python sql docker kubernetes Improved performance of python Managed project Designed and implemented microservices reduced time by 59% handled team of 12,Software Engineer
intern sql microservices python docker Managed docker Built scalable kubernetes Authored rest,Software Engineer
docker python ci/cd java Owned end-to-end system Owned end-to-end docker Managed ci/cd reduced time by 15%,Software Engineer
manager c++ ci/cd microservices docker Responsible for ci/cd Improved performance of docker Led a project on java reduced time by 28%,Software Engineer
docker c++ sql kubernetes Built scalable c++ Authored rest Collaborated with rest reduced time by 32%,Software Engineer
docker sql python microservices Developed tooling Worked on java Developed project,Software Engineer
docker microservices ci/cd python Responsible for python Responsible for automation Optimized project handled team of 3,Software Engineer
principal c++ ci/cd docker java Collaborated with docker Built scalable team Worked on team reduced time by 38%,Software Engineer
rest java ci/cd c++ Managed java Optimized c++ Implemented CI/CD docker reduced time by 51%,Software Engineer
ci/cd c++ python microservices Worked on system Responsible for rest Implemented CI/CD kubernetes handled team of 14,Software Engineer
lead sql java c++ rest Designed and implemented team Improved performance of system Owned end-to-end sql reduced time by 14%,Software Engineer
python kubernetes docker java Owned end-to-end java Managed project Collaborated with project reduced time by 14%,Software Engineer
senior sql kubernetes ci/cd python Responsible for system Authored system Developed c++,Software Engineer
junior kubernetes java python rest Managed c++ Designed and implemented tooling Owned end-to-end python reduced time by 46%,Software Engineer
microservices sql c++ kubernetes Implemented CI/CD c++ Optimized java Led a project on microservices reduced time by 55%,Software Engineer
sql java c++ kubernetes Managed kubernetes Optimized java Responsible for docker,Software Engineer
ci/cd rest sql docker Collaborated with c++ Managed ci/cd Developed team reduced time by 18%,Software Engineer
java docker ci/cd sql Worked on automation Led a project on ci/cd Responsible for microservices reduced time by 30%,Software Engineer
manager kubernetes rest c++ java Improved performance of automation Led a project on microservices Designed and implemented project,Software Engineer
java docker kubernetes python Optimized ci/cd Led a project on ci/cd Developed c++,Software Engineer
manager kubernetes rest c++ microservices Authored team Collaborated with automation Optimized python handled team of 2,Software Engineer
kubernetes microservices ci/cd python Managed team Improved performance of project Designed and implemented tooling,Software Engineer
principal java c++ ci/cd python Implemented CI/CD microservices Developed microservices Owned end-to-end sql,Software Engineer
intern sql python ci/cd c++ Authored python Responsible for rest Built scalable rest,Software Engineer
director docker kubernetes sql python Authored docker Authored automation Collaborated with kubernetes reduced time by 33%,Software Engineer
junior java kubernetes docker microservices Owned end-to-end java Improved performance of rest Designed and implemented c++ reduced time by 28%,Software Engineer
docker python rest kubernetes Built scalable sql Responsible for automation Collaborated with team handled team of 4,Software Engineer
microservices python rest sql Implemented CI/CD rest Owned end-to-end microservices Owned end-to-end python reduced time by 35%,Software Engineer
docker c++ python microservices Designed and implemented team Collaborated with python Worked on microservices,Software Engineer
rest ci/cd sql python Owned end-to-end microservices Implemented CI/CD python Led a project on kubernetes reduced time by 26%,Software Engineer
docker python ci/cd c++ Collaborated with python Built scalable python Optimized ci/cd reduced time by 45%,Software Engineer
ci/cd docker c++ microservices Owned end-to-end tooling Implemented CI/CD microservices Optimized project handled team of 3,Software Engineer
python c++ java rest Managed docker Implemented CI/CD docker Managed c++ reduced time by 42%,Software Engineer
intern c++ rest kubernetes microservices Responsible for system Collaborated with tooling Owned end-to-end ci/cd,Software Engineer
docker python ci/cd sql Collaborated with team Collaborated with c++ Built scalable team,Software Engineer
director docker kubernetes java python Implemented CI/CD ci/cd Owned end-to-end system Optimized microservices handled team of 7,Software Engineer
rest python sql microservices Built scalable team Improved performance of tooling Authored automation handled team of 9,Software Engineer
principal java docker ci/cd kubernetes Managed tooling Optimized team Designed and implemented system reduced time by 40% handled team of 12,Software Engineer
microservices python c++ kubernetes Managed automation Built scalable c++ Developed sql reduced time by 54% handled team of 2,Software Engineer
java ci/cd microservices rest Built scalable c++ Built scalable system Designed and implemented kubernetes,Software Engineer
java ci/cd kubernetes python Authored system Worked on system Responsible for ci/cd reduced time by 30%,Software Engineer
kubernetes microservices c++ ci/cd Built scalable docker Responsible for rest Implemented CI/CD docker,Software Engineer
rest docker c++ microservices Developed project Managed system Improved performance of team,Software Engineer
senior rest docker sql java Designed and implemented microservices Managed microservices Authored sql,Software Engineer
rest python java docker Implemented CI/CD tooling Authored microservices Improved performance of java,Software Engineer
c++ ci/cd microservices java Built scalable automation Collaborated with tooling Managed c++ reduced time by 28%,Software Engineer
lead rest c++ java python Developed microservices Authored rest Designed and implemented sql,Software Engineer
docker ci/cd sql java Improved performance of c++ Led a project on team Authored team reduced time by 13%,Software Engineer
ci/cd microservices sql python Developed sql Worked on java Built scalable docker handled team of 14,Software Engineer
manager java microservices rest sql Responsible for kubernetes Developed rest Owned end-to-end project reduced time by 28%,Software Engineer
c++ java python microservices Managed java Developed team Designed and implemented ci/cd,Software Engineer
junior docker c++ microservices kubernetes Built scalable automation Responsible for python Built scalable tooling,Software Engineer
kubernetes c++ java sql Improved performance of python Worked on microservices Optimized team reduced time by 31%,Software Engineer
python sql c++ microservices Implemented CI/CD ci/cd Owned end-to-end c++ Implemented CI/CD rest reduced time by 17%,Software Engineer
ci/cd java rest docker Developed microservices Authored c++ Worked on system reduced time by 28%,Software Engineer
rest c++ microservices sql Responsible for team Developed kubernetes Built scalable ci/cd reduced time by 35%,Software Engineer
junior python microservices java ci/cd Owned end-to-end docker Designed and implemented python Improved performance of kubernetes reduced time by 58%,Software Engineer
manager microservices ci/cd rest sql Authored team Worked on microservices Developed docker handled team of 3,Software Engineer
ci/cd c++ rest python Responsible for kubernetes Developed ci/cd Authored tooling reduced time by 17%,Software Engineer
java ci/cd python rest Collaborated with team Designed and implemented sql Responsible for rest reduced time by 57%,Software Engineer
rest python docker ci/cd Authored ci/cd Owned end-to-end tooling Implemented CI/CD tooling,Software Engineer
director rest kubernetes java sql Optimized automation Managed java Implemented CI/CD rest,Software Engineer
sql java kubernetes ci/cd Led a project on python Implemented CI/CD ci/cd Designed and implemented team handled team of 15,Software Engineer
docker c++ rest python Led a project on project Designed and implemented system Optimized rest reduced time by 42%,Software Engineer
junior docker microservices ci/cd sql Implemented CI/CD kubernetes Owned end-to-end team Worked on ci/cd,Software Engineer
c++ python microservices kubernetes Built scalable microservices Worked on system Designed and implemented team reduced time by 37%,Software Engineer
intern kubernetes python rest sql Led a project on rest Worked on microservices Built scalable c++,Software Engineer
kubernetes docker sql ci/cd Developed kubernetes Collaborated with kubernetes Owned end-to-end automation,Software Engineer
principal sql c++ ci/cd python Implemented CI/CD c++ Developed automation Collaborated with java reduced time by 44%,Software Engineer
junior docker ci/cd microservices c++ Worked on tooling Worked on microservices Owned end-to-end project,Software Engineer
docker microservices kubernetes rest Designed and implemented sql Owned end-to-end docker Responsible for microservices reduced time by 56%,Software Engineer
principal java ci/cd docker c++ Built scalable team Managed python Designed and implemented sql reduced time by 48% handled team of 11,Software Engineer
ci/cd python sql kubernetes Worked on sql Authored python Built scalable rest reduced time by 23%,Software Engineer
docker java rest ci/cd Responsible for ci/cd Improved performance of sql Authored team reduced time by 48%,Software Engineer
java kubernetes microservices ci/cd Designed and implemented microservices Responsible for project Implemented CI/CD sql,Software Engineer
kubernetes java ci/cd c++ Optimized system Responsible for project Developed kubernetes handled team of 7,Software Engineer
ci/cd kubernetes microservices c++ Developed kubernetes Managed ci/cd Collaborated with system handled team of 8,Software Engineer
manager java sql rest ci/cd Owned end-to-end sql Designed and implemented microservices Authored c++,Software Engineer
kubernetes microservices rest java Built scalable ci/cd Implemented CI/CD c++ Built scalable sql reduced time by 31%,Software Engineer
kubernetes sql microservices python Collaborated with java Implemented CI/CD system Designed and implemented python reduced time by 53%,Software Engineer
intern python sql microservices docker Designed and implemented tooling Managed team Authored project,Software Engineer
python c++ java ci/cd Collaborated with microservices Worked on sql Designed and implemented system reduced time by 58%,Software Engineer
manager sql ci/cd docker c++ Authored sql Built scalable sql Implemented CI/CD docker,Software Engineer
rest sql c++ python Collaborated with microservices Improved performance of docker Implemented CI/CD rest,Software Engineer
microservices docker c++ sql Managed automation Collaborated with sql Collaborated with docker,Software Engineer
junior microservices java kubernetes c++ Worked on microservices Implemented CI/CD team Optimized system handled team of 7,Software Engineer
manager docker c++ sql kubernetes Designed and implemented rest Implemented CI/CD project Developed docker reduced time by 41%,Software Engineer
java c++ sql microservices Owned end-to-end rest Responsible for system Managed docker reduced time by 56%,Software Engineer
manager rest docker java sql Developed python Implemented CI/CD python Led a project on automation,Software Engineer
python microservices kubernetes java Developed sql Led a project on system Responsible for python reduced time by 39%,Software Engineer
sql docker java python Developed team Owned end-to-end project Owned end-to-end python reduced time by 45%,Software Engineer
principal ci/cd docker c++ java Improved performance of ci/cd Improved performance of python Implemented CI/CD automation,Software Engineer
rest java kubernetes docker Responsible for java Led a project on ci/cd Responsible for sql reduced time by 43%,Software Engineer
ci/cd microservices kubernetes rest Managed kubernetes Led a project on docker Built scalable rest,Software Engineer
principal kubernetes rest sql ci/cd Led a project on project Developed tooling Worked on java,Software Engineer
rest c++ kubernetes docker Developed python Authored c++ Led a project on rest,Software Engineer
director python java ci/cd docker Led a project on ci/cd Worked on sql Designed and implemented automation,Software Engineer
